,fr,hr,fl,hl
92,3.0252856022116275,9.144041503221677,5.157532003958396,5.744738659422388
93,3.011219568332919,8.78040374184804,5.147096604937225,5.785004132642932
94,3.011236474606706,8.570239114981185,5.154706370165224,5.724888073482547
95,3.2015898454865566,8.745050879165438,4.994457762790707,5.7911612698672865
96,3.1670157958459493,8.559681750725227,4.950271228094598,5.720332724581151
97,3.4238760055830912,8.776544055622605,5.006459484789052,5.799463810585957
98,3.412373378230378,8.486577779299202,5.0538211442884,5.693751133204264
99,3.6242861480306683,8.674220310769538,5.49010878745951,5.845955907794904
100,3.61916685223524,8.365988628942056,5.457141996894777,5.894166362175179
101,3.6300788133403517,7.899040800099822,5.513050159049936,6.334433157560001
102,3.786551023654254,7.958762418938258,5.551140261476315,6.429049967129371
103,3.7306857281538495,7.991326630163488,5.527194475895238,6.354810710144277
104,3.80597444776822,8.437510211444383,5.5391664804672,6.414186662539241
105,3.6842434917821025,8.444070943070155,6.193378515147945,6.368862263200629
106,3.6744205129759235,8.342666713819675,5.516657372663981,5.716059457520525
107,3.6930451473300003,8.198690658274085,5.4617145354673635,5.626650878786875
108,3.5419643502560314,8.573627608778285,5.4758240043403,5.659502971643067
109,3.5990573195516533,8.387892135083812,5.3985477462765195,5.620072060585095
110,3.523755042837296,8.454200832508242,5.465655172073055,5.670424184857243
111,3.6230973320006834,8.508156908800535,5.499281751303643,5.603858364019535
112,3.629832521568042,8.25483536192477,5.452568561572921,5.697451572391794
113,3.6248485777813233,9.135067921006376,5.5346451932194505,5.54428881387514
114,4.078203061546088,9.137260986839504,6.089078848735278,6.018666858682565
115,4.064112280116209,9.148600854729619,6.59465111325833,6.1341957080001706
116,4.102433675584632,9.12019391915453,5.898347667229588,5.9059794321811285
117,4.07340700683911,8.471309609538755,5.800951769892613,5.910342891638182
118,4.114554012962502,8.671960573434058,6.2954352469326675,5.906934794404874
119,4.04737165893674,8.4414078884725,6.429621921144607,5.914632789132533
120,4.117077446488546,8.603666549425693,6.180356237013477,5.895516475078338
121,3.7878121020908657,8.834449313129527,5.589428615205718,5.94079861027599
122,3.9209040945661733,8.68162436068998,5.9932780826237675,5.821781627037112
123,3.8362122832149366,8.791739869078008,5.709810586037334,6.158836553953781
124,3.8866333485321523,8.690279292030743,5.907100918483047,6.090421024247736
125,3.8331065552646235,8.799217640063656,5.744800309647399,6.021553410607565
126,3.872486003415286,8.666437909613819,5.857318718714298,6.066568636216998
